--------- beginning of crash
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.742  1151  1151 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:55.920  1153  1153 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:56.266  1212  1317 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-commit-id:722d4d057786ee46754f9b77939cdc75d12fa06f
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-change-id:I4573b37dc671335b64083430a22026f187852e25
07-09 15:47:56.338  1212  1317 I libged  : mtk-brm-merge-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.339  1212  1317 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:56.373  1212  1317 I libGLES_mali: mtk-brm-commit-id:b8cb4240da48dc7bb5e0797774fab31af08ef59d
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-change-id:Iba9e1f53e8a0b631534505f1ee6bc05742c31af5
07-09 15:47:56.375  1212  1317 I libGLES_mali: mtk-brm-merge-id:none
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-commit-id:8783a29bae0ae84a456239f3212f27bdafa94c91
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-change-id:Iee598bb542f5de895a4b71649fbc79b2d93bc3de
07-09 15:47:56.674  1319  1319 I libimsma_adapt: mtk-brm-merge-id:none
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:56.895  1212  1317 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:56.922  1437  1437 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:56.923  1437  1437 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:57.897  1638  1749 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:57.915  1638  1749 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:57.985  1638  1749 I libMEOW_gift: mtk-brm-merge-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:58.409  1395  1395 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-change-id:none
07-09 15:47:59.098  1138  1138 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-commit-id:fd5bcd7aeba2f3e34241290c2e25c82f0c4e988d
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-change-id:Ib6376eb9f04a5b0fd3b34c055af103b87c7c80ac
07-09 15:47:59.137  1138  1138 I meow_lib: mtk-brm-merge-id:none
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-commit-id:b59bc59925939e58e917d73bb70589903975f54a
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-change-id:I094ebd0dbb735cad04d8464f33f48954f3e5909d
07-09 15:47:59.178  1138  1138 I libMEOW_gift: mtk-brm-merge-id:none
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-commit-id:9504ca4d9fe90b18cc868bffca3317a0b06d4f0e
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-change-id:I1329c9c99dd4a140cd413bfc9aec757077413c57
07-09 16:07:14.163  1194  1194 I liboemcrypto: mtk-brm-merge-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:02.551  4082  4082 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-commit-id:d105a54e26eb754d7af7443feccbbe2e6831f785
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-change-id:none
07-11 10:04:13.927  4471  4471 I libpq_sec: mtk-brm-merge-id:f0056ab  83dcbdf
07-11 18:09:01.103  5976  5976 E AndroidRuntime: FATAL EXCEPTION: main
07-11 18:09:01.103  5976  5976 E AndroidRuntime: Process: com.zarz.spotiflac, PID: 5976
07-11 18:09:01.103  5976  5976 E AndroidRuntime: java.lang.RuntimeException: Unable to stop service com.ryanheise.audioservice.AudioService@a52b5e0: java.lang.RuntimeException: Cannot execute operation because FlutterJNI is not attached to native.
07-11 18:09:01.103  5976  5976 E AndroidRuntime: 	at android.app.ActivityThread.handleStopService(ActivityThread.java:5239)
07-11 20:31:36.276  1861  2393 I ActivityManager: Background started FGS: Allowed [callingPackage: com.whatsapp; callingUid: 10252; uidState: SVC ; uidBFSL: n/a; intent: Intent { cmp=com.whatsapp/.messaging.service.GcmFGService }; code:PUSH_MESSAGING; tempAllowListReason:<cba44f2 com.google.android.c2dm.intent.RECEIVE/u0,reasonCode:PUSH_MESSAGING,duration:20000,callingUid:10150>; targetSdkVersion:36; callerTargetSdkVersion:36; startForegroundCount:0; bindFromPackage:null: isBindService:false]
07-11 20:31:36.286  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.291  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.294  1861  2350 W ActivityManager: Foreground service started from background can not have location/camera/microphone access: service com.whatsapp/.messaging.service.GcmFGService
07-11 20:31:36.294  1861  2350 I ActivityManager: Background started FGS: Allowed [callingPackage: com.whatsapp; callingUid: 10252; uidState: FGS ; uidBFSL: [BFSL]; intent: Intent { cmp=com.whatsapp/.messaging.service.GcmFGService }; code:PROC_STATE_FGS; tempAllowListReason:<cba44f2 com.google.android.c2dm.intent.RECEIVE/u0,reasonCode:PUSH_MESSAGING,duration:20000,callingUid:10150>; targetSdkVersion:36; callerTargetSdkVersion:36; startForegroundCount:0; bindFromPackage:null: isBindService:false]
07-11 20:31:36.295  1861  2350 W ForegroundServiceTypeLoggerModule: Foreground service start for UID: 10252 does not have any types
07-11 20:31:36.297  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.303  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.306  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:36.314  1861  1861 W NotificationHistory: Attempted to add notif for locked/gone/disabled user 0
07-11 20:31:36.965  1861  1861 W NotificationHistory: Attempted to add notif for locked/gone/disabled user 0
07-11 20:31:36.976  1861  1861 I AS.AudioService: shouldNotificationSoundPlay false: muted stream:5 attr:AudioAttributes: usage=USAGE_NOTIFICATION content=CONTENT_TYPE_SONIFICATION flags=0x800 tags= bundle=null
07-11 20:31:36.981  1861  2605 W ActivityManager: Permission Denial: get/set setting for user asks to run as user -2 but is calling from uid u0a288; this requires android.permission.INTERACT_ACROSS_USERS_FULL
07-11 20:31:37.021  1861  7174 W ActivityManager: Permission Denial: get/set setting for user asks to run as user -2 but is calling from uid u0a288; this requires android.permission.INTERACT_ACROSS_USERS_FULL
07-11 20:31:37.294  1861  2350 W ActivityManager: Permission Denial: get/set setting for user asks to run as user -2 but is calling from uid u0a288; this requires android.permission.INTERACT_ACROSS_USERS_FULL
07-11 20:31:37.392  1861  7174 I WindowManager: Relayout Window{d2885e9 u0 com.jamworks.dynamicspot}: oldVis=8 newVis=0 focusMayChange = true requestedWidth = 720 requestedHeight = 244 outFrames = ClientWindowFrames{frame=[0,1][720,245] display=[-100000,-100000][100000,100000] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=)/@0xe5ae27c
07-11 20:31:37.423  1861  2350 I WindowManager: Relayout Window{21b157d u0 com.jamworks.dynamicspot}: oldVis=8 newVis=0 focusMayChange = true requestedWidth = 276 requestedHeight = 78 outFrames = ClientWindowFrames{frame=[222,1][498,79] display=[-100000,-100000][100000,100000] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=)/@0xdd9935a
07-11 20:31:37.439  1861  1885 I DisplayDeviceRepository: Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:4627039422300187648", 720 x 1604, modeId 1, renderFrameRate 60.0, defaultModeId 1, userPreferredModeId -1, supportedModes [{id=1, width=720, height=1604, fps=60.0, vsync=60.0, synthetic=false, alternativeRefreshRates=[90.0], supportedHdrTypes=[]}, {id=2, width=720, height=1604, fps=90.0, vsync=90.0, synthetic=false, alternativeRefreshRates=[60.0], supportedHdrTypes=[]}], colorMode 0, supportedColorModes [0], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[], mMaxLuminance=500.0, mMaxAverageLuminance=500.0, mMinLuminance=0.0}, allmSupported false, gameContentTypeSupported false, density 280, 268.9412 x 268.0368 dpi, appVsyncOff 2400001, presDeadline 28600000, cutout DisplayCutout{insets=Rect(0, 70 - 0, 0) waterfall=Insets{left=0, top=0, right=0, bottom=0} boundingRect={Bounds=[Rect(0, 0 - 0, 0), Rect(336, 0 - 384, 70), Rect(0, 0 - 0, 0), Rect(0, 0 - 0, 0)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=720 displayHeight=1604 physicalDisplayWidth=720 physicalDisplayHeight=1604 density={1.75} cutoutSpec={M -24,0 L 24,0 L 24,70 L -24,70 Z} rotation={0} scale={1.0} physicalPixelDisplaySizeRatio={1.0}}} sideOverrides={}}, touch INTERNAL, rotation 0, type INTERNAL, address {port=0, model=0x40368bd6e7ee6c}, deviceProductInfo DeviceProductInfo{name=MTKDEV, manufacturerPnpId=MTK, productId=35638, modelYear=null, manufactureDate=ManufactureDate{week=42, year=2021}, connectionToSinkType=0}, state ON, committedState ON, frameRateOverride {uid=10288 frameRateHz=60.0} , brightnessMinimum 0.0, brightnessMaximum 1.0, brightnessDefault 0.4685039, hdrSdrRatio NaN, FLAG_ALLOWED_TO_BE_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, FLAG_TRUSTED, installOrientation 0, displayShape DisplayShape{ spec=-757940771 displayWidth=720 displayHeight=1604 physicalPixelDisplaySizeRatio=1.0 rotation=0 offsetX=0 offsetY=0 scale=1.0}}
07-11 20:31:37.472  1861  2350 W BatteryExternalStatsWorker: error reading Bluetooth stats: 11
07-11 20:31:38.929  1861  1953 W ForegroundServiceTypeLoggerModule: FGS stop call for: 10252 has no types!
07-11 20:31:38.943  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:39.164  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:39.165  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:39.167  1861  2393 W ActivityManager: Unable to start service Intent { act=com.huawei.iconnect.action.DEVICE_BOND_STATE_CHANGED cmp=com.huawei.iconnect/.MessageIntentService (has extras) } U=0: not found
07-11 20:31:39.314  1861  7174 W ActivityManager: Foreground service started from background can not have location/camera/microphone access: service com.huawei.health/com.huawei.hwservicesmgr.PhoneService
07-11 20:31:39.435  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:39.486  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:39.502  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:39.514  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:39.518  1861  2393 W ActivityManager: Foreground service started from background can not have location/camera/microphone access: service com.huawei.health/com.huawei.hwservicesmgr.PhoneService
07-11 20:31:39.547  1861  1861 W NotificationHistory: Attempted to add notif for locked/gone/disabled user 0
07-11 20:31:41.151  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:42.424  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:42.425  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:43.303  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:43.313  1861  7174 I WindowManager: Relayout Window{9a23fdd u0 NotificationShade}: oldVis=4 newVis=0 focusMayChange = true requestedWidth = 720 requestedHeight = 1604 outFrames = ClientWindowFrames{frame=[0,0][720,1604] display=[0,0][720,1604] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=NotificationShade)/@0x137a2cc
07-11 20:31:43.350  1861  7174 W WindowManager: Changing focus from Window{25e94ba u0 com.instagram.android/com.instagram.android.activity.MainTabActivity} to Window{9a23fdd u0 NotificationShade} displayId=0 Callers=com.android.server.wm.RootWindowContainer.updateFocusedWindowLocked:470 com.android.server.wm.WindowManagerService.updateFocusedWindowLocked:6676 com.android.server.wm.WindowManagerService.relayoutWindowInner:2694 com.android.server.wm.WindowManagerService.relayoutWindow:2362 
07-11 20:31:44.314  1861  1885 I DisplayDeviceRepository: Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:4627039422300187648", 720 x 1604, modeId 1, renderFrameRate 60.0, defaultModeId 1, userPreferredModeId -1, supportedModes [{id=1, width=720, height=1604, fps=60.0, vsync=60.0, synthetic=false, alternativeRefreshRates=[90.0], supportedHdrTypes=[]}, {id=2, width=720, height=1604, fps=90.0, vsync=90.0, synthetic=false, alternativeRefreshRates=[60.0], supportedHdrTypes=[]}], colorMode 0, supportedColorModes [0], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[], mMaxLuminance=500.0, mMaxAverageLuminance=500.0, mMinLuminance=0.0}, allmSupported false, gameContentTypeSupported false, density 280, 268.9412 x 268.0368 dpi, appVsyncOff 2400001, presDeadline 28600000, cutout DisplayCutout{insets=Rect(0, 70 - 0, 0) waterfall=Insets{left=0, top=0, right=0, bottom=0} boundingRect={Bounds=[Rect(0, 0 - 0, 0), Rect(336, 0 - 384, 70), Rect(0, 0 - 0, 0), Rect(0, 0 - 0, 0)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=720 displayHeight=1604 physicalDisplayWidth=720 physicalDisplayHeight=1604 density={1.75} cutoutSpec={M -24,0 L 24,0 L 24,70 L -24,70 Z} rotation={0} scale={1.0} physicalPixelDisplaySizeRatio={1.0}}} sideOverrides={}}, touch INTERNAL, rotation 0, type INTERNAL, address {port=0, model=0x40368bd6e7ee6c}, deviceProductInfo DeviceProductInfo{name=MTKDEV, manufacturerPnpId=MTK, productId=35638, modelYear=null, manufactureDate=ManufactureDate{week=42, year=2021}, connectionToSinkType=0}, state ON, committedState ON, frameRateOverride , brightnessMinimum 0.0, brightnessMaximum 1.0, brightnessDefault 0.4685039, hdrSdrRatio NaN, FLAG_ALLOWED_TO_BE_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, FLAG_TRUSTED, installOrientation 0, displayShape DisplayShape{ spec=-757940771 displayWidth=720 displayHeight=1604 physicalPixelDisplaySizeRatio=1.0 rotation=0 offsetX=0 offsetY=0 scale=1.0}}
07-11 20:31:44.370  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:44.371  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:44.372  1861  1953 W PackageConfigPersister: App-specific configuration not found for packageName: com.android.systemui and userId: 0
07-11 20:31:44.407  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:44.414  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:44.417  1861  2605 I WindowManager: Relayout Window{b6a782a u0 InputMethod}: oldVis=8 newVis=0 focusMayChange = true requestedWidth = 720 requestedHeight = 1534 outFrames = ClientWindowFrames{frame=[0,70][720,1604] display=[0,70][720,1604] parentFrame=[0,0][0,0]} outSurfaceControl = Surface(name=InputMethod)/@0x4bbe7cb
07-11 20:31:44.420  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:44.421  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:44.438  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:44.442  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:48.332   594 17376 I keystore2: system/security/keystore2/watchdog/src/lib.rs:319 - Watchdog thread idle -> terminating. Have a great day.
07-11 20:31:52.966  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.782  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.782  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.785  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.789  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.795  1861  1861 I Telecom-BluetoothStateReceiver: HFP device XX:XX:XX:XX:49:80 changed state to 3: BSR.oR@nV8
07-11 20:31:54.798  1861  1861 I Telecom-BluetoothDeviceManager: Removing device with address: XX:XX:XX:XX:49:80 and devicetype=HFP: BSR.oR@nV8
07-11 20:31:54.804  1861  2660 I Telecom-CallAudioRouteStateMachine: Message received: BLUETOOTH_DEVICE_LIST_CHANGED=7, arg1=0: BSR.oR->CARSM.pM_BLUETOOTH_DEVICE_LIST_CHANGED@nV8
07-11 20:31:54.804  1861  2660 I Telecom-CallAudioRouteStateMachine$QuiescentBluetoothRoute: Processing message BLUETOOTH_DEVICE_LIST_CHANGED: BSR.oR->CARSM.pM_BLUETOOTH_DEVICE_LIST_CHANGED@nV8
07-11 20:31:54.805  1861  2644 I Telecom-BluetoothRouteManager: AudioOff received message: LOST_DEVICE.: BSR.oR->BRM.pM_2@nV8
07-11 20:31:54.805  1861  2660 I Telecom : Logging.Events: Non-call EVENT: AUDIO_ROUTE, Bluetooth device list changed: BSR.oR->CARSM.pM_BLUETOOTH_DEVICE_LIST_CHANGED@nV8
07-11 20:31:54.815  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.815  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.819  1861  1861 I Telecom-BluetoothStateReceiver: Device null is now the preferred BT device for HFP: BSR.oR@nWA
07-11 20:31:54.870  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.870  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.870  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.876  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.879  1861  1861 I Telecom-BluetoothStateReceiver: HFP device XX:XX:XX:XX:49:80 changed state to 0: BSR.oR@nWE
07-11 20:31:54.895  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.904  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.907  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.916  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.919  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.940  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.964  1861  2074 W LamuSarControl: onAudioPortListUpdate
07-11 20:31:54.975  1861  2074 W LamuSarControl: onAudioPortListUpdate
07-11 20:31:54.975  1861  1861 I Telecom-WiredHeadsetManager: ACTION_HEADSET_PLUG event, plugged in: false, : WHC.oADR@nWM
07-11 20:31:54.988  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:54.990  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.006  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.009  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.014  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.020  1861  2660 I Telecom-CallAudioRouteStateMachine: Message received: BT_ACTIVE_DEVICE_GONE=9, arg1=0: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE@nWA
07-11 20:31:55.020  1861  1897 I ActivityManager: Start proc 17480:com.ape.dolby.settings/u0a71 for broadcast {com.ape.dolby.settings/com.ape.dolby.settings.broadcast.DeviceAudioStateUpdateReceiver}
07-11 20:31:55.020  1861  2660 I Telecom-CallAudioRouteStateMachine$QuiescentBluetoothRoute: Processing message BT_ACTIVE_DEVICE_GONE: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE@nWA
07-11 20:31:55.020  1861  2660 I Telecom : Logging.Events: Non-call EVENT: AUDIO_ROUTE, Bluetooth active device gone: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE@nWA
07-11 20:31:55.021  1861  2660 I Telecom-CallAudioRouteStateMachine: Message received: SWITCH_BASELINE_ROUTE=1005, arg1=0: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE->CARSM.pM_SWITCH_BASELINE_ROUTE@nWA
07-11 20:31:55.021  1861  2660 I Telecom-CallAudioRouteStateMachine$QuiescentBluetoothRoute: Processing message SWITCH_BASELINE_ROUTE: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE->CARSM.pM_SWITCH_BASELINE_ROUTE@nWA
07-11 20:31:55.021  1861  2660 I Telecom-CallAudioRouteStateMachine: Message received: SWITCH_EARPIECE=1001, arg1=0: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE->CARSM.pM_SWITCH_BASELINE_ROUTE->CARSM.pM_SWITCH_EARPIECE@nWA
07-11 20:31:55.021  1861  2660 I Telecom-CallAudioRouteStateMachine$QuiescentBluetoothRoute: Processing message SWITCH_EARPIECE: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE->CARSM.pM_SWITCH_BASELINE_ROUTE->CARSM.pM_SWITCH_EARPIECE@nWA
07-11 20:31:55.021  1861  2660 I Telecom : Logging.Events: Non-call EVENT: AUDIO_ROUTE, Leaving state QuiescentBluetoothRoute: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE->CARSM.pM_SWITCH_BASELINE_ROUTE->CARSM.pM_SWITCH_EARPIECE@nWA
07-11 20:31:55.021  1861  2660 I Telecom : Logging.Events: Non-call EVENT: AUDIO_ROUTE, Entering state QuiescentEarpieceRoute: BSR.oR->CARSM.pM_BT_ACTIVE_DEVICE_GONE->CARSM.pM_SWITCH_BASELINE_ROUTE->CARSM.pM_SWITCH_EARPIECE@nWA
07-11 20:31:55.089  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.093  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.094  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.104  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.122  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.124  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:55.316  1861  5646 I ActivityManager: Flag disabled. Ignoring finishAttachApplication from uid: 10071. pid: 17480
07-11 20:31:55.342  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:56.131  1861  1953 W ForegroundServiceTypeLoggerModule: API event end called before start!
07-11 20:31:56.141  1861  2074 W LamuSarControl: lastReturnTime1521421
07-11 20:31:56.141  1861  2074 W LamuSarControl: lastReturnTime continue
07-11 20:31:56.142  1861  2074 W LamuSarControl: onAudioPatchListUpdatetrue
07-11 20:31:56.143  1861  2074 W LamuSarControl: isInCommunicationOrInCall0
07-11 20:31:56.143  1861  2074 W LamuSarControl: onAudioPatchListUpdatefalse
07-11 20:31:56.143  1861  2074 W LamuSarControl: isInCommunicationOrInCall0
07-11 20:31:56.149  1861  2098 I MR2ServiceImpl: removeProviderRoutes | provider: com.android.server.media/.SystemMediaRoute2Provider, routes: [64:8F:DB:25:49:80 | OnePlus Nord Buds 2r]
07-11 20:31:56.149  1861  2074 W LamuSarControl: onAudioPortListUpdate
07-11 20:31:56.150  1861  1861 I Telecom-WiredHeadsetManager: ACTION_HEADSET_PLUG event, plugged in: false, : WHC.oADR@nW0
07-11 20:31:56.159  1861  2528 E NotificationService: Suppressing toast from package com.ape.dolby.settings by user request.
07-11 20:31:56.161  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:56.175  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.789  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.801  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.801  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.809  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.811  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.814  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.815  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.818  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.821  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.824  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.984  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.996  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.996  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.996  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:57.999  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:58.002  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:58.007  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:58.009  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:58.010  1861  1883 E ApplicationHelper: Fail to get PackageManager
07-11 20:31:58.053  1861  1861 I Telecom-BluetoothStateReceiver: HFP device XX:XX:XX:XX:49:80 changed state to 1: BSR.oR@nXY
